id,sname,describe,type,need,needCount,give,giveCount,aliveTime,fromSquare,fromActor,rewards,rewardnum,ranklevel
int,string,string,int,string,string,int,int,int,int,string,string,string,int
注释行,任务名,内容描述,类型：0普通任务 1主线任务 2交付任务,需要材料id,需要材料数量,提供id,提供数量,任务持续时间-分钟,地区,委托人,奖励id,奖励数量,品级SS-F7-0
1,加工小麦粉,面包大卖把仓库的面粉用完了，临时需要一些面粉来烤面包，拜托妖精们把小麦加工成面粉。,2,1,2,0,0,1440,1,面包房店长,1|2|3,1|1|2,0
2,粮仓危机,村里的粮食不多了，需要一些小麦来补充仓库，我们愿意高价来换一些小麦。,0,1,3,,,1440,1,琥珀村村长,1,1,0
3,购买小麦粉,最近买不到小麦粉了，我们需要一些小麦粉,0,1,4,,,1440,1,琥珀村村民,1,1,0
4,蓝色染料,需要一些蓝色浆果来作为染料,0,1,5,,,1440,1,琥珀村染坊老板,1,1,0
5,难得一见的白色浆果,听说白色浆果很少见哦，真希望能尝尝看呢。,0,1,6,,,1440,1,旅行的少女,1,1,0
6,红色蛋糕装饰,甜品的顶端需要浆果来装饰，如果能有红色浆果就好了。,0,1,7,,,1440,1,甜品店店员,1,1,0
7,浆果篮子,奶奶喜欢吃浆果，所以我想要采一篮子的浆果送给她！,0,1,8,,,1440,1,贤者的孙女,1,1,0
8,紫色染料,需要一些紫色浆果来作为染料,0,1,9,,,1440,1,琥珀村染坊老板,1,1,1
9,交换海蓝莲花,听说海蓝莲花能够恢复精力制作精力药，我想用一些材料和你们交换,0,,,,,,,薇薇,,,
10,小麦种子,我需要一些小麦当作种子播种，我用种出来的蔬菜和你们交换。,0,,,,,,,朴实的农民,,,
,收购珍珠小麦,听说珍珠小麦很特别，我想要收购一些。,0,,,,,,,富有的商人,,,
,加工珍珠小麦,寻常的磨坊没办法加工珍珠小麦，希望妖精们能生产成珍珠小麦面粉，我会付给你们报酬。,2,,,,,,,磨坊老板,,,
,制作早餐,我想要一些黄心木薯，来做丈夫便携的早饭。,0,,,,,,,年轻的农妇,,,
,加工木薯,收获了大量的木薯，我希望把他们加工成木薯粉方便保存。,2,,,,,,,农场管理员,,,
,收购高级食材,冒昧打扰，我需要采购一些高级珍珠小麦面粉,0,,,,,,,采购的管家,,,
,收购高级食材,冒昧打扰，我需要采购一些高级黄心木薯粉,0,,,,,,,采购的管家,,,
,购买商品,听说拉塞尔的木薯很畅销，我想要买一些黄心木薯粉。,0,,,,,,,年轻的商人,,,
,大豆饲料,我需要大豆来给动物们增加一些营养。,0,,,,,,,牧场管理员,,,
,制作豆粉糕,我想要一些大豆粉来制作豆粉糕。,0,,,,,,,制作糕点的少女,,,
,挑战高级豆粉糕,我需要一些高级大豆粉来完成我的料理。,0,,,,,,,严苛的厨师,,,
,加工大豆粉,收获了很多大豆，需要生产大豆粉，可否请妖精们帮帮忙。,2,,,,,,,年迈的农民,,,
,想吃烤玉米,好久没有下山了，我想要尝尝烤玉米的味道，可否给我几棵长穗玉米？,0,,,,,,,深山猎人,,,
,,需要玉米粉,0,,,,,,,,,,
,,需要高级玉米粉,0,,,,,,,,,,
,,生产玉米粉,2,,,,,,,,,,
,,需要脱壳大米,0,,,,,,,,,,
,,需要米粉,0,,,,,,,,,,
,,需要高级米粉,0,,,,,,,,,,
,,生产米粉,2,,,,,,,,,,
,制作药材1,我收集到了一些烟果壳，需要一些烟果粉来制作伤药。,2,,,,,,,住在湖边的名医,,,
